bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,mammalia,theria,eutheria,carnivora,phocidae,seal,Phoca vitulina
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,mammalia,theria,eutheria,carnivora,procyonidae,raccoon,Procyon lotor
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,mammalia,theria,eutheria,carnivora,ursidae,bear,Ursus arctos
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,mammalia,theria,eutheria,carnivora,ursidae,panda,Ailuropoda melanoleuca
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,mammalia,theria,eutheria,chiroptera,bat,Myotis lucifugus
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,mammalia,theria,eutheria,erinaceidae,hedgehog,Erinaceus europaeus
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,mammalia,theria,eutheria,lagomorpha,hare,Lepus europaeus
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,mammalia,theria,eutheria,lagomorpha,rabbit,Oryctolagus cuniculus
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,mammalia,theria,metatheria,marsupialia,kangaroo,Macropus giganteus
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,mammalia,theria,metatheria,marsupialia,koala,Phascolarctos cinereus
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,mammalia,theria,eutheria,perissodactyla,donkey,Equus asinus
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,mammalia,theria,eutheria,perissodactyla,horse,Equus caballus
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,mammalia,theria,eutheria,perissodactyla,rhinoceros,Ceratotherium simum
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,mammalia,theria,eutheria,primates,chimpanzee,Pan troglodytes
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,mammalia,theria,eutheria,primates,gibbon,Hylobates lar
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,mammalia,theria,eutheria,primates,gorilla,Gorilla gorilla
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,mammalia,theria,eutheria,primates,human,Homo sapiens
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,mammalia,theria,eutheria,primates,monkey,Macaca mulatta
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,mammalia,theria,eutheria,primates,orangutan,Pongo pygmaeus
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,mammalia,theria,eutheria,proboscidea,elephant,Loxodonta africana
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,mammalia,theria,eutheria,rodentia,castoridae,beaver,Castor fiber
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,mammalia,theria,eutheria,rodentia,caviidae,capybara,Hydrochoerus hydrochaeris
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,mammalia,theria,eutheria,rodentia,caviidae,guinea pig,Cavia porcellus
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,mammalia,theria,eutheria,rodentia,caviidae,patagonian mara,Dolichotis patagonum
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,mammalia,theria,eutheria,rodentia,caviidae,rock cavy,Kerodon rupestris
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,mammalia,theria,eutheria,rodentia,chinchillidae,chinchilla,Chinchilla lanigera
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,mammalia,theria,eutheria,rodentia,cricetidae,hamster,Mesocricetus auratus
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,mammalia,theria,eutheria,rodentia,cricetidae,lemming,Lemmus lemmus
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,mammalia,theria,eutheria,rodentia,cricetidae,vole,Microtus arvalis
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,mammalia,theria,eutheria,rodentia,hystricidae,porcupine,Hystrix cristata
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,mammalia,theria,eutheria,rodentia,muridae,gerbil,Meriones unguiculatus
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,mammalia,theria,eutheria,rodentia,muridae,mouse,Mus musculus
